ID|Text
VERSION_UPGRADE|(Le jeu a été automatiquement mis à jour pour la version (build) %1 de CMO)
WIZARD_BACKUP|Sauvegardez une copie, puis RELANCEZ cet outil.
WIZARD_CLEAR_MISSIONS|Effacez toutes les missions existantes pour le camp %1 ?
WIZARD_GO_ORDER|Le camp %1 doit-il jouer en %2?
WIZARD_INTRO_MESSAGE|Bienvenue dans IKE v%1! Cet outil ajoute le PBEM/hotseat à tout scénario de Command: Modern Operations.\n\nL'exécution de l'appli n'est PAS reversible. Avez-vous sauvegardé une copie de ce scénario?
WIZARD_ORDER_NUMBER|COMBIEN de phases d'ordres le camp %1 aura-t-il à chaque tour? (Minimum 2)
WIZARD_PLAYABLE_SIDE|Le camp %1 doit-il être JOUABLE?
WIZARD_PREVENT_EDITOR|Voulez-vous empêcher les joueurs d'ouvrir le jeu en MODE ÉDITEUR avant la fin de la partie? 
WIZARD_SETUP_PHASE|Le jeu doit-il commencer par une PHASE DE SETUP?
WIZARD_SUCCESS|Succès ! Votre scénario PBEM/hotseat a bien été initialisé. Allez dans FILE -> SAVE AS…pour le sauvegarder sous un nouveau nom. Il sera prêt à être joué la prochaine fois que vous le chargerez.\n\n(si vous envisagez de le publier dans le Workshop de Steam, faites le maintenant, avant de refermer le scénario.)\n\nMerci d’avoir utilisé IKE !
WIZARD_TURN_LENGTH|Entrez la DURÉE D'UN TOUR en minutes:
WIZARD_ZERO_LENGTH|ERREUR: La durée d'un tour doit être supérieure à 0!
WRONG_PASSWORD|Le mot de passe est incorrect.
YES|Oui
FRIENDLY|AMICAL
NEUTRAL|NEUTRE
UNFRIENDLY|INAMICAL
HOSTILE|HOSTILE
DRAW_NOSETUP|Vous ne pouvez pas proposer une partie nulle pendant la phase de setup.
DRAW_WILLOFFER|Voulez-vous proposer une partie nulle à l’autre joueur?
DRAW_OFFERED|Vous avez proposé une partie nulle. L’autre joueur va décider s’il accepte lors de son prochain tour.
DRAW_ALREADY|Vous avez déjà offert une partie nulle pendant ce tour.
DRAW_ACCEPT|L’autre joueur a offert une partie nulle. Voulez vous accepter? Si OUI le match se terminera sans gagnant.
DRAW_ARESURE|Etes-vous sûr de vouloir accepter la partie nulle?
DRAW_MATCHOVER|Le match s’est arrêté. Partie nulle.
RESIGN_ARESURE|Etes-vous sûr de vouloir abandonner?
RESIGN_RESIGNED|%1 a abandonné
SPEC_RESIGN_NAME|(PBEM) Abandonner la partie
SPEC_RESIGN_DESC|Termine le match immédiatement par une défaite de votre camp.
SPEC_DRAW_NAME|(PBEM) Proposer une partie nulle
SPEC_DRAW_DESC|Propose de terminer le match par une partie nulle. Si l‘autre joueur accepte, le match se terminera sans gagnant. 
SCEN_END_DRAW|MATCH NUL
SCEN_END_VICTORY|%1 VICTOIRE
SCEN_END_DEFEAT|%1 DEFAITE
DAMAGE_LISTING|touché par %1
DAMAGES_REPORTED|Unités endommagées:
UNKNOWN_WEAPON|arme inconnue
HIT_LISTING|touché avec %1
HITS_REPORTED|Frappes réussies:
SPEC_PASSCHANGE_NAME|(PBEM) Changer votre mot de passe
SPEC_PASSCHANGE_DESC|Changer votre mot de passe. Utile si vous voulez faire voir votre tour à un autre joueur mais que vous ne voulez pas révéler votre mot de passe habituel. 
WIZARD_CONST_TURN_LENGTHS|Utiliser une longueur de tour fixe ? \n\n(AVANCE: Cliquer « No » pour permettre aux joueurs d'alterner entre des durées de tours intermédiaires et tactiques.) 
WIZARD_INTERMEDIATE_LENGTH|Entrez la LONGUEUR DE TOUR 'INTERMEDIAIRE' en minutes: 
WIZARD_TACTICAL_LENGTH|Entrez la LONGUEUR DE TOUR 'TACTIQUE' en minutes: \n(doit être significativement inférieure à la durée 'intermédiaire')
VARIABLE_TIME_WARNING|Ce scénario utilise des durées de tours variables (intermédiaire vs tactique). Vous pouvez changer la longueur du tour dans le menu « Special Actions ».
SPEC_TACTICAL_NAME|(TEMPS) Commencer en durée tactique (tours de %1 minutes)
SPEC_TACTICAL_DESC|Change la durée du tour en mode « tactique » (%1 minutes), pour un contrôle plus fin de vos unités lors des phases d'action intenses. Cette action ne peut être exécutée qu'au début de votre tour.
SPEC_INTERMEDIATE_NAME|(TEMPS) Offrir d'entrer en tours de durée intermédiaire (tours de %1 minutes)
SPEC_INTERMEDIATE_DESC|Propose de changer la durée d'un tour en « intermédiaire » (%1 minutes), pour une résolution plus rapide des phases de jeu moins intenses. Si l'autre joueur valide ce choix, la durée intermédiaire commencera lors de son tour de jeu.
TACTICAL_SETUP|Vous ne pouvez pas passer en durée de tour tactique pendant la phase de setup.
TACTICAL_NOTSTART|Vous ne pouvez passer en durée de tour tactique qu'au début de votre tour.
TACTICAL_ENTERED|Vous êtes passé en durée de tour tactique. La durée des tours est maintenant de %1 minutes.
TACTICAL_INITIATED|Un autre joueur a initié la durée de tours tactique. Les tours dureront maintenant %1 minutes.
INTERMEDIATE_WILLOFFER|Voulez vous proposer d'entrer en mode de tours de durée intermédiaire ?
INTERMEDIATE_OFFERED|Vous avez proposé d'entrer en tours de durée intermédiaire. L'autre joueur décidera lors de son prochain tour s'il accepte.
INTERMEDIATE_HASOFFER|Un autre joueur souhaite entrer en durée de tours « intermédiaire ». Acceptez vous ? Si OUI, la durée d'un tour passera à %1 minutes.
INTERMEDIATE_ALREADY|Une offre de passer en durée de tours « intermédiaire » a déjà été faite.
INTERMEDIATE_VOTED|Vous avez voté pour entrer en temps intermédiaire. Si le vote passe, la durée intermédiaire commencera lors du tour du joueur qui a voté en dernier.
INTERMEDIATE_DECLINED|Vous avez refusé l'offre de passer en tours de durée intermédiaire.
INTERMEDIATE_ENTERED|Le vote pour entrer en tours de durée intermédiaire est passé. Tous les tours seront maintenant d'une durée de %1 minutes.
FRATRICIDES_REPORTED|Tirs fratricides:
FATALERROR_CORRUPT|ERREUR: Votre tour de PBEM est corrompu. Ne PAS sauvegarder ce fichier.\n\nVeuillez recharger et rejouer votre tour.
ID_GUIDEDWEAP|missile
ID_ROCKET|roquette
ID_BOMB|bombe
ID_GUNS|canon
ID_SUICIDEBOMB|bombe suicide
ID_SABOTAGEBOMB|explosifs
ID_GUIDEDPROJ|projectile guidé
ID_TORPEDO|torpille
ID_DEPTHCHARGE|charge de profondeur
ID_MINE|mine
ID_LASER|laser
SPEC_SHOWVERSION_NAME|(PBEM) About IKE
SPEC_SHOWVERSION_DESC|Displays information about IKE, the underlying code that powers this scenario's PBEM capabilities.
MSG_IKE_VERSION|IKE v%1\nLicensed under GNU GPL v3.\nhttps://github.com/musurca/IKE/
