ID|Text
VERSION_MISMATCH|错误: 您使用的版本为%1, 但当前的对战剧本为 %2. 所有玩家必须使用相同的版本号.
VERSION_TOO_OLD|您的CMO当前版本 (%1)已过时. 请升级到 %2 版本后再进行PBEM对战.
VERSION_UPGRADE|(游戏已经自动升级至CMO 版本 %1.)
WIZARD_BACKUP|请先进行备份保存，然后运行此插件.
WIZARD_CLEAR_MISSIONS|是否清除 %1 阵营已有的任务?
WIZARD_GO_ORDER| %1 方将以 %2 进行游戏?
WIZARD_INTRO_MESSAGE|欢迎使用IKE v%1! 本插件能够应用于CMO任何剧本, 将其改为邮件对战或热座模式.\n\n运行插件之后源文件将被修改. 你是否已经对剧本进行了备份?
WIZARD_ORDER_NUMBER|%1 这一方玩家每回合最少能够进行几次操作? (最少2次)
WIZARD_PLAYABLE_SIDE|玩家能否扮演 %1 这一方吗?
WIZARD_PREVENT_EDITOR|你需要防止玩家在剧本完成之前使用编辑器模式吗?
WIZARD_SETUP_PHASE|游戏是否需要单独的设置阶段?
WIZARD_SUCCESS|成功! 你的邮件对战/热座对战剧本已经初始化完成. 选择文件 -> 另存为... 将其用新的文件名保存. 再下次读取时就能进行对战.\n\n(如果您计划将其发布在Steam创意工坊, 可以先不关闭此剧本并现在就上传.)\n\n感谢使用IKE!
WIZARD_TURN_LENGTH|输入回合长度（X分钟）：
WIZARD_ZERO_LENGTH|错误:回合长度必须大于0!
WRONG_PASSWORD|密码不正确.
YES|是
FRIENDLY|友好
NEUTRAL|中立
UNFRIENDLY|非友好
HOSTILE|敌对
DRAW_NOSETUP|可以在布置阶段提出求和.
DRAW_WILLOFFER|你是否想向其他玩家发出求和申请?
DRAW_OFFERED|你已经提出求和. 另一方玩家将在下回合决定是否接受.
DRAW_ALREADY|本回合已经发送求和申请.
DRAW_ACCEPT|另一方玩家提出求和. 是否接受? 如果是, 比赛将以平局结束.
DRAW_ARESURE|请确认是否接受平局?
DRAW_MATCHOVER|比赛以平局结束.
RESIGN_ARESURE|你确定要认输吗?
RESIGN_RESIGNED|%1 已经认输
SPEC_RESIGN_NAME|(PBEM) 认输
SPEC_RESIGN_DESC|立即认输并结束比赛.
SPEC_DRAW_NAME|(PBEM) 提出求和
SPEC_DRAW_DESC|提出以平局结束比赛. 如果其他玩家接受, 比赛将以平局结束.
SCEN_END_DRAW|平局
SCEN_END_VICTORY|%1 胜利
SCEN_END_DEFEAT|%1 失败
DAMAGE_LISTING|被 %1 击中
DAMAGES_REPORTED|损伤:
UNKNOWN_WEAPON|未知武器
HIT_LISTING|由 %1 击中
HITS_REPORTED|攻击成功:
SPEC_PASSCHANGE_NAME|(PBEM) 改变密码
SPEC_PASSCHANGE_DESC|如果想向他人展示对战，却不想泄露常用密码时，可以改变密码
WIZARD_CONST_TURN_LENGTHS|是否使用固定回合长度?\n\n(提示: 点击 No 会在 中继回合 和战术 回合间切换.)
WIZARD_INTERMEDIATE_LENGTH|输入中继回合长度，以分钟为单位:
WIZARD_TACTICAL_LENGTH|输入战术回合长度，以分钟为单位:\n(需要明显短于中继回合时间跨度)
VARIABLE_TIME_WARNING|此剧本将使用可变时长回合 (中继回合 和 战术回合). 可以在特殊行动菜单中更改时长.
SPEC_TACTICAL_NAME|(时间)初始战术回合时长 (每回合 %1 分钟)
SPEC_TACTICAL_DESC|切换回合长度至战术回合 (%1 分钟), 可以在激烈战斗中下达命令. 此设定只能在回合开始时执行.
SPEC_INTERMEDIATE_NAME|(时间)切换至中继回合时长 (每回合 %1 分钟)
SPEC_INTERMEDIATE_DESC|切换回合长度至中继回合 (%1 分钟), 适用于剧本中战斗不激烈的时段. 如果其他玩家同意, 中继回合时长将会在其回合生效.
TACTICAL_SETUP|在初始设置阶段无法进入战术回合.
TACTICAL_NOTSTART|只能在回合开始时进入战术回合时段.
TACTICAL_ENTERED|已经进入战术回合时段. 所有的回合时长将变为 %1 分钟.
TACTICAL_INITIATED|另一位玩家已开启了战术回合时段. 回合时长将变为 %1 分钟.
INTERMEDIATE_WILLOFFER|是否要提议进入中继回合时段?
INTERMEDIATE_OFFERED|已经提议进入中继回合时段. 另一为玩家将在下回合选择是否接受提议.
INTERMEDIATE_HASOFFER|另一为玩家想要进入中继回合时段. 是否同意? 如果同意, 所有的回合时长将变为 %1 分钟.
INTERMEDIATE_ALREADY|提议进入中继回合的消息已经发送.
INTERMEDIATE_VOTED|你已经提出进入中继回合. 如果提议通过, 中继回合将会从最后一名同意的玩家回合开始执行.
INTERMEDIATE_DECLINED|你已经拒绝进入中继回合的提议.
INTERMEDIATE_ENTERED|进入中继回合的提议获得通过. 所有回合的时长现在变为 %1 分钟.
FRATRICIDES_REPORTED|友军杀伤:
FATALERROR_CORRUPT|错误: 你的PBEM回合崩溃了.请 不要 保存此文件.\n\n请重新读取存档再运行一次.
ID_GUIDEDWEAP|导弹
ID_ROCKET|火箭
ID_BOMB|炸弹
ID_GUNS|火炮
ID_SUICIDEBOMB|自杀炸弹
ID_SABOTAGEBOMB|爆炸物
ID_GUIDEDPROJ|智能弹药
ID_TORPEDO|鱼雷
ID_DEPTHCHARGE|深水炸弹
ID_MINE|水雷
ID_LASER|激光
SPEC_SHOWVERSION_NAME|(邮件对战)关于IKE
SPEC_SHOWVERSION_DESC|显示IKE相关信息，IKE支持此想定功能的基础代码。
MSG_IKE_VERSION|IKE 版本%1\n 基于授权 GNU GPL v3.\nhttps://github.com/musurca/IKE/
