ID|Text
VERSION_TOO_OLD|Su versión de CMO (%1) está desactualizada. Por favor actualice su version a %2 or mayor para jugar este escenario en PBEM.
VERSION_UPGRADE|(Su juego ha sido automáticamente actualizado a CMO version %1.)
WIZARD_BACKUP|Por favor guarde un backup y luego ejecute (RUN) esta herramienta nuevamente. 
WIZARD_CLEAR_MISSIONS|Eliminar las misiones existentes para el lado %1?
WIZARD_GO_ORDER|Debería el lado %1 cambiar a %2?
WIZARD_INTRO_MESSAGE|Bienvenido a IKE v%1! Esta herramienta añade la opción de PBEM/hotseat a cualquier escenario de Command: Modern Operations scenario.\n\nUna vez usada la herramienta no se puede volver atras. Ha hecho un backup de este escenario?
WIZARD_ORDER_NUMBER|CUANTAS fases de órdenes por turno tendra el lado %1? (Mínimo: 2)
WIZARD_PLAYABLE_SIDE|Debería el lado %1 ser JUGABLE?
WIZARD_PREVENT_EDITOR|Quiere EVITAR que los jugadores puedan abrir el juego en MODO EDITOR hasta que este haya terminado?
WIZARD_SETUP_PHASE|Debería el juego empezar con la FASE DE PREPARACION?
WIZARD_SUCCESS|Exito! Su escenario PBEM/hotseat ha sido inicializado. Vaya a ARCHIVO -> GUARDAR COMO... para guardarlo bajo un nuevo nombre. Estará listo para jugar cuando se cargue la próxima vez. \n\n(Si está pensando publicarlo en el Steam Workshop debería hacerlo ahora, antes de cerrar el escenario.)\n\nGracias por usar IKE!
WIZARD_TURN_LENGTH|Ingrese la DURACION DEL TURNO en minutos:
WIZARD_ZERO_LENGTH|ERROR: La longitud del turno debe ser mayor a 0!
WRONG_PASSWORD|La contraseña está incorrecta.
YES|SI
FRIENDLY|AMISTOSO
NEUTRAL|NEUTRAL
UNFRIENDLY|NO AMISTOSO
HOSTILE|HOSTIL
DRAW_NOSETUP|No puedes ofrecer un empate durante la fase de preparación.
DRAW_WILLOFFER|¿Te gustaría ofrecer un empate al otro jugador?
DRAW_OFFERED|Has ofrecido un empate. El otro jugador elegirá si acepta en su próximo turno.
DRAW_ALREADY|Ya ofreciste un empate en este turno.
DRAW_ACCEPT|El otro jugador ha ofrecido un empate. ¿Aceptas? En caso afirmativo, el partido terminará sin ganador.
DRAW_ARESURE|¿Estás seguro de que quieres aceptar?
DRAW_MATCHOVER|El partido terminó en empate.
RESIGN_ARESURE|¿Estás seguro de que quieres renunciar?
RESIGN_RESIGNED|%1 renunció
SPEC_RESIGN_NAME|(PBEM) Renunciar al juego
SPEC_RESIGN_DESC|Termina el juego inmediatamente en la derrota para ti.
SPEC_DRAW_NAME|(PBEM) Ofrecer un empate
SPEC_DRAW_DESC|Ofertas para terminar el juego en empate. Si el otro jugador lo acepta, el partido terminará sin ganador.
SCEN_END_DRAW|UN EMPATE
SCEN_END_VICTORY|%1 VICTORIA
SCEN_END_DEFEAT|%1 DERROTA
DAMAGE_LISTING|golpeada por %1
DAMAGES_REPORTED|Unidades dañadas:
UNKNOWN_WEAPON|un arma desconocida
HIT_LISTING|golpeada con %1
HITS_REPORTED|Huelgas exitosas:
SPEC_PASSCHANGE_NAME|(PBEM) Cambiar su contraseña
SPEC_PASSCHANGE_DESC|Cambia tu contraseña. Útil si quieres mostrar el turno a otro jugador, pero no quieres revelar tu contraseña normal.
WIZARD_CONST_TURN_LENGTHS|¿Usar turnos fijos?\n\n(AVANZADO: haz clic en No para permitir a los jugadores alternar entre turnos intermedio y táctico.)
WIZARD_INTERMEDIATE_LENGTH|Ingrese la DURACIÓN DEL TURNO INTERMEDIO en minutos:
WIZARD_TACTICAL_LENGTH|Ingrese la DURACIÓN DEL TURNO TÁCTICO en minutos:\n(Debe ser significativamente más corto que la duración del turno de juego intermedio)
VARIABLE_TIME_WARNING|Este escenario utiliza turnos variables (intermedio frente a táctico). Puedes cambiar la duración del turno actual desde tu menú de 'Special Actions'.
SPEC_TACTICAL_NAME|(HORA) Comenzar el tiempo táctico (turnos de %1 minutos)
SPEC_TACTICAL_DESC|Cambia la duración del turno a táctico (%1 minutos), para un control más granular sobre sus unidades durante la acción intensa. Esto solo se puede hacer al comienzo de su turno.
SPEC_INTERMEDIATE_NAME|(HORA) Ofrecer ingresar al tiempo intermedio (turnos de %1 minutos)
SPEC_INTERMEDIATE_DESC|Ofrece cambiar la duración del turno a Intermedio (%1 minutos), para una resolución de juego más rápida durante las partes menos intensas de un escenario. Si el otro jugador está de acuerdo, el tiempo intermedio comenzará en su turno.
TACTICAL_SETUP|No puedes ingresar al tiempo táctico durante la fase de configuración.
TACTICAL_NOTSTART|Solo puedes ingresar al tiempo táctico al comienzo de tu turno.
TACTICAL_ENTERED|Has entrado en tiempo táctico. La duración de todos los turnos será ahora de %1 minutos.
TACTICAL_INITIATED|Otro jugador ha iniciado el tiempo táctico. La duración de todos los turnos será ahora de %1 minutos.
INTERMEDIATE_WILLOFFER|¿Le gustaría ofrecer ingresar al tiempo intermedio?
INTERMEDIATE_OFFERED|Se ha ofrecido a ingresar al tiempo intermedio. El otro jugador elegirá si acepta en su próximo turno.
INTERMEDIATE_HASOFFER|Otro jugador quiere ingresar al tiempo intermedio. ¿Aceptas? En caso afirmativo, la duración de todos los turnos ahora será de %1 minutos.
INTERMEDIATE_ALREADY|Ya se ha hecho una oferta para entrar en el tiempo intermedio.
INTERMEDIATE_VOTED|Ha votado para ingresar al tiempo intermedio. Si la votación pasa, el tiempo intermedio comenzará en el turno del último jugador votante.
INTERMEDIATE_DECLINED|Has rechazado la oferta para entrar al tiempo intermedio.
INTERMEDIATE_ENTERED|Ha pasado la votación para entrar en el Intermedio. La duración de todos los turnos será ahora de %1 minutos.
FRATRICIDES_REPORTED|Fratricides:
FATALERROR_CORRUPT|ERROR: Your PBEM turn has been corrupted. Do NOT save this file.\n\nPlease reload your turn, and play it again.
